team,elo
RII,1503.947
STP,1300.0
BFF,1478.004
WBU,1300.0
RCH,1503.42
ABU,1300.0
DAY,1493.002
COL,1504.908
MUN,1478.004
CHI,1368.333
MUT,1300.0
CBD,1504.688
PTQ,1300.0
AKR,1503.42
WHE,1300.0
DHR,1499.667
CLP,1300.0
CHT,1300.0
ARI,1493.002
CTI,1464.506
FTP,1300.0
HAM,1444.259
KEW,1300.0
TLM,1300.0
MCK,1300.0
UTI,1300.0
CNC,1300.0
FTW,1300.0
SYR,1300.0
LOG,1300.0
RCK,1300.0
ZAN,1300.0
ATN,1300.0
PUL,1300.0
THO,1300.0
CHL,1300.0
GAR,1300.0
MNM,1300.0
ROS,1300.0
LAN,1300.0
ELY,1300.0
CHB,1300.0
WJA,1300.0
WGC,1300.0
DTM,1300.0
CWP,1300.0
UAP,1300.0
RIC,1300.0
CST,1300.0
DTI,1300.0
CCL,1502.63
MNN,1504.688
ECG,1300.0
LOU,1413.889
NG1,1300.0
GB,1413.889
TON,1478.004
SEN,1300.0
RAC,1493.002
OOR,1300.0
MIL,1300.0
TOL,1504.938
DUL,1300.0
SLA,1300.0
CIB,1300.0
FYJ,1413.889
KEN,1300.0
KCB,1300.0
DPN,1300.0
PTB,1478.004
PRV,1499.667
NYG,1300.0
HRT,1413.889
LAB,1300.0
BRL,1300.0
NYA,1368.333
DWL,1300.0
TOR,1505.0
SIS,1504.298
DET,1368.333
BKN,1300.0
CLI,1300.0
WSH,1300.0
RED,1300.0
PIT,1300.0
PHI,1300.0
GUN,1300.0
LAR,1368.333
STG,1445.792
CRP,1435.358
BYK,1300.0
CLE,1300.0
MSA,1300.0
SF,1300.0
NAA,1300.0
BBA,1300.0
BDA,1300.0
CRA,1300.0
LDA,1300.0
BCL,1300.0
NYY,1300.0
DTX,1300.0
IND,1300.0
NE,1300.0
DEN,1300.0
LAC,1300.0
KC,1300.0
OAK,1300.0
TEN,1300.0
NYJ,1300.0
BUF,1300.0
DAL,1300.0
MIN,1300.0
MIA,1300.0
ATL,1300.0
NO,1300.0
CIN,1300.0
TB,1300.0
SEA,1300.0
CAR,1300.0
JAX,1300.0
BAL,1432.223
HOU,1300.0
